,用户年龄段,投放时段,用户性别,教育水平,所在行业,消费水平,广告产品所属类型 ,产品价格
0,0-18,10:00-12:00,男,高中及以下,生活服务,低,食品及饮料,低
1,18-24,16:00-18:00,男,本科及以上,金融保险,中,酒类,中
2,25-34,20:00-22:00,女,本科及以上,IT电子通信,高,互联网,高
3,35-44,12:00-14:00,女,本科及以上,建筑房地产,高,房地产,高
4,0-18,18:00-20:00,女,大专,教育,低,娱乐及休闲,中
5,18-24,20:00-22:00,女,本科及以上,广告营销,中,化妆品/浴室用品,中
6,25-34,18:00-20:00,女,大专,住宿旅游,中,家用电器,中
7,35-44,8:00-10:00,男,本科及以上,金融保险,高,房地产,高
8,45-54,8:00-10:00,女,高中及以下,日化百货,低,药品,低
9,55-64,6:00-8:00,男,本科及以上,无,低,药品,低
10,65+,4:00-6:00,女,大专,无,低,个人用品,低
11,18-24,10:00-12:00,女,本科及以上,餐饮,低,清洁用品,低
12,0-18,22:00-0:00,男,高中及以下,无,低,娱乐及休闲,低
13,25-34,18:00-20:00,男,本科及以上,IT电子通信,中,数码/电脑/办公用品,高
14,18-24,22:00-0:00,女,大专,生活服务,低,食品及饮料,低
15,25-34,18:00-20:00,男,本科及以上,农林牧渔,高,房地产,高
16,45-54,10:00-12:00,女,大专,社会公共管理,中,家居用品,低
17,18-24,20:00-22:00,男,高中及以下,交通运输和仓储邮政,低,酒类,中
18,25-34,14:00-16:00,男,大专,餐饮,中,交通,高
19,0-18,20:00-22:00,女,高中及以下,纺织服装,中,化妆品/浴室用品,中
20,45-54,18:00-20:00,男,本科及以上,建筑房地产,高,交通,高
21,65+,16:00-18:00,女,大专,无,低,药品,低
22,45-54,12:00-14:00,男,本科及以上,社会公共管理,中,商业/服务性行业,中
23,25-34,10:00-12:00,女,本科及以上,文化体育娱乐,中,化妆品/浴室用品,中
24,25-34,18:00-20:00,女,本科及以上,教育,中,金融/投资行业,中
25,18-24,18:00-20:00,女,本科及以上,无,低,食品及饮料,低
26,0-18,22:00-0:00,男,大专,汽车,低,衣着,低
27,18-24,20:00-22:00,女,本科及以上,医药卫生,低,化妆品/浴室用品,中
28,25-34,18:00-20:00,男,本科及以上,建材家居,中,房地产,高
29,35-44,10:00-12:00,女,本科及以上,教育,中,金融/投资行业,中
30,45-54,16:00-18:00,女,大专,生活服务,低,家居用品,低
31,0-18,0:00-2:00,男,高中及以下,文化体育娱乐,低,娱乐及休闲,低
32,25-34,12:00-14:00,男,本科及以上,农林牧渔,中,农业,中
33,35-44,10:00-12:00,男,高中及以下,能源采矿化工,低,个人用品,低
34,18-24,10:00-12:00,女,本科及以上,建筑房地产,中,化妆品/浴室用品,中
35,18-24,10:00-12:00,女,本科及以上,建筑房地产,中,数码/电脑/办公用品,中
36,18-24,10:00-12:00,女,本科及以上,IT电子通信,中,数码/电脑/办公用品,中
37,25-34,16:00-18:00,男,高中及以下,建筑房地产,高,数码/电脑/办公用品,中
38,18-24,18:00-20:00,男,大专,生活服务,低,交通,高
39,0-18,20:00-22:00,男,高中及以下,无,低,食品及饮料,低
40,35-44,18:00-20:00,女,本科及以上,金融保险,高,衣着,中
41,35-44,18:00-20:00,女,本科及以上,金融保险,高,化妆品/浴室用品,中
42,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,数码/电脑/办公用品,中
43,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,房地产,高
44,35-44,18:00-20:00,女,本科及以上,金融保险,高,金融/投资行业,中
45,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,交通,中
46,45-54,12:00-14:00,女,本科及以上,日化百货,低,个人用品,低
47,18-24,12:00-14:00,男,大专,生活服务,低,娱乐及休闲,低
48,0-18,20:00-22:00,男,高中及以下,汽车,低,数码/电脑/办公用品,中
49,18-24,10:00-12:00,男,高中及以下,能源采矿化工,低,数码/电脑/办公用品,中
35,18-24,10:00-12:00,女,本科及以上,建筑房地产,中,数码/电脑/办公用品,中
36,18-24,10:00-12:00,女,本科及以上,IT电子通信,中,数码/电脑/办公用品,中
37,25-34,16:00-18:00,男,高中及以下,建筑房地产,高,数码/电脑/办公用品,中
38,18-24,18:00-20:00,男,大专,生活服务,低,交通,高
39,0-18,20:00-22:00,男,高中及以下,无,低,食品及饮料,低
40,35-44,18:00-20:00,女,本科及以上,金融保险,高,衣着,中
41,35-44,18:00-20:00,女,本科及以上,金融保险,高,化妆品/浴室用品,中
42,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,数码/电脑/办公用品,中
43,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,房地产,高
44,35-44,18:00-20:00,女,本科及以上,金融保险,高,金融/投资行业,中
45,18-24,20:00-22:00,男,本科及以上,IT电子通信,中,交通,中
46,45-54,12:00-14:00,女,本科及以上,日化百货,低,个人用品,低
47,18-24,12:00-14:00,男,大专,生活服务,低,娱乐及休闲,低
48,0-18,20:00-22:00,男,高中及以下,汽车,低,数码/电脑/办公用品,中
49,18-24,10:00-12:00,男,高中及以下,能源采矿化工,低,数码/电脑/办公用品,中
4,0-18,18:00-20:00,女,大专,教育,低,娱乐及休闲,中
5,18-24,20:00-22:00,女,本科及以上,广告营销,中,化妆品/浴室用品,中
6,25-34,18:00-20:00,女,大专,住宿旅游,中,家用电器,中
7,35-44,8:00-10:00,男,本科及以上,金融保险,高,房地产,高
8,45-54,8:00-10:00,女,高中及以下,日化百货,低,药品,低
9,55-64,6:00-8:00,男,本科及以上,无,低,药品,低
10,65+,4:00-6:00,女,大专,无,低,个人用品,低
1,18-24,16:00-18:00,男,本科及以上,金融保险,中,酒类,中
2,25-34,20:00-22:00,女,本科及以上,IT电子通信,高,互联网,高
3,35-44,12:00-14:00,女,本科及以上,建筑房地产,高,房地产,高
4,0-18,18:00-20:00,女,大专,教育,低,娱乐及休闲,中
5,18-24,20:00-22:00,女,本科及以上,广告营销,中,化妆品/浴室用品,中
6,25-34,18:00-20:00,女,大专,住宿旅游,中,家用电器,中
7,35-44,8:00-10:00,男,本科及以上,金融保险,高,房地产,高
8,45-54,8:00-10:00,女,高中及以下,日化百货,低,药品,低
9,55-64,6:00-8:00,男,本科及以上,无,低,药品,低
10,65+,4:00-6:00,女,大专,无,低,个人用品,低
11,18-24,10:00-12:00,女,本科及以上,餐饮,低,清洁用品,低
12,0-18,22:00-0:00,男,高中及以下,无,低,娱乐及休闲,低
13,25-34,18:00-20:00,男,本科及以上,IT电子通信,中,数码/电脑/办公用品,高
14,18-24,22:00-0:00,女,大专,生活服务,低,食品及饮料,低
15,25-34,18:00-20:00,男,本科及以上,农林牧渔,高,房地产,高
16,45-54,10:00-12:00,女,大专,社会公共管理,中,家居用品,低
17,18-24,20:00-22:00,男,高中及以下,交通运输和仓储邮政,低,酒类,中
18,25-34,14:00-16:00,男,大专,餐饮,中,交通,高
19,0-18,20:00-22:00,女,高中及以下,纺织服装,中,化妆品/浴室用品,中
20,45-54,18:00-20:00,男,本科及以上,建筑房地产,高,交通,高
21,65+,16:00-18:00,女,大专,无,低,药品,低
22,45-54,12:00-14:00,男,本科及以上,社会公共管理,中,商业/服务性行业,中
23,25-34,10:00-12:00,女,本科及以上,文化体育娱乐,中,化妆品/浴室用品,中